Date,Cases,Recovered,Deaths
04/05/20,52,0,0
04/07/20,84,3,2
04/08/20,123,6,6
04/09/20,196,10,10
04/12/20,313,16,15
04/13/20,383,11,13
04/14/20,457,13,16
04/15/20,519,15,18
04/16/20,608,18,18
04/17/20,740,22,25
04/18/20,843,24,29
04/19/20,974,28,33
04/20/20,1174,34,40
04/21/20,1229,34,40
04/22/20,1470,37,44
04/23/20,1683,40,48
04/24/20,2060,46,54
04/25/20,2228,49,57
04/26/20,2485,53,61
04/27/20,2717,76,76
04/28/20,3010,151,78
04/29/20,3423,256,81
04/30/20,3751,340,89
05/01/20,3973,397,90
05/02/20,4309,483,95
05/03/20,4499,531,96
05/04/20,4780,602,98
05/06/20,5674,875,107
05/07/20,5886,940,109
05/08/20,6162,1024,112
05/09/20,6423,1104,115
05/10/20,6659,1176,117
05/11/20,7275,1364,123
